2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-21_02:01:19 used_mb=13254 total_mb=32768
2026-05-21_02:01:49 used_mb=13254 total_mb=32768
2026-05-21_02:02:19 used_mb=13254 total_mb=32768
2026-05-21_02:02:49 used_mb=13254 total_mb=32768
2026-05-21_02:03:19 used_mb=13254 total_mb=32768
2026-05-21_02:03:49 used_mb=13254 total_mb=32768
2026-05-21_02:04:19 used_mb=13254 total_mb=32768
2026-05-21_02:04:49 used_mb=13254 total_mb=32768
2026-05-21_02:05:19 used_mb=13254 total_mb=32768
2026-05-21_02:05:49 used_mb=13254 total_mb=32768
2026-05-21_02:06:19 used_mb=13254 total_mb=32768
2026-05-21_02:06:50 used_mb=13254 total_mb=32768
2026-05-21_02:07:20 used_mb=13254 total_mb=32768
2026-05-21_02:07:50 used_mb=13254 total_mb=32768
2026-05-21_02:08:20 used_mb=13254 total_mb=32768
2026-05-21_02:08:50 used_mb=13254 total_mb=32768
2026-05-21_02:09:20 used_mb=13254 total_mb=32768
2026-05-21_02:09:50 used_mb=13254 total_mb=32768
2026-05-21_02:10:20 used_mb=13254 total_mb=32768
2026-05-21_02:10:50 used_mb=13254 total_mb=32768
2026-05-21_02:11:20 used_mb=13254 total_mb=32768
2026-05-21_02:11:50 used_mb=13254 total_mb=32768
2026-05-21_02:12:20 used_mb=13254 total_mb=32768
2026-05-21_02:12:50 used_mb=13254 total_mb=32768
2026-05-21_02:13:21 used_mb=13254 total_mb=32768
2026-05-21_02:13:51 used_mb=13254 total_mb=32768
2026-05-21_02:14:21 used_mb=13254 total_mb=32768
2026-05-21_02:14:51 used_mb=13254 total_mb=32768
2026-05-21_02:15:21 used_mb=13254 total_mb=32768
2026-05-21_02:15:51 used_mb=13254 total_mb=32768
2026-05-21_02:16:21 used_mb=13254 total_mb=32768
2026-05-21_02:16:51 used_mb=13254 total_mb=32768
2026-05-21_02:17:21 used_mb=13254 total_mb=32768
2026-05-21_02:17:51 used_mb=13254 total_mb=32768
2026-05-21_02:18:21 used_mb=13254 total_mb=32768
2026-05-21_02:18:51 used_mb=13254 total_mb=32768
2026-05-21_02:19:21 used_mb=13254 total_mb=32768
2026-05-21_02:19:52 used_mb=13254 total_mb=32768
2026-05-21_02:20:22 used_mb=13254 total_mb=32768
2026-05-21_02:20:52 used_mb=13254 total_mb=32768
2026-05-21_02:21:22 used_mb=13254 total_mb=32768
2026-05-21_02:21:52 used_mb=13254 total_mb=32768
2026-05-21_02:22:22 used_mb=13254 total_mb=32768
2026-05-21_02:22:52 used_mb=13254 total_mb=32768
2026-05-21_02:23:22 used_mb=13254 total_mb=32768
